id,tags,rooms,price,is_exclusive,highlighting_level,estate_type,area,address,latitude,longitude,new_bedrooms_count
2597880,"1 pièce, 19 m², Étage 4/0",1,580,f,3,Studio,18.70967741935484,Fontainebleau,48.4049375,2.7015872,0
2753003,"4 pièces, 3 chambres, 102 m², Étage 1/6, Parking, Ascenseur",4,1990,f,2,Appartement,104.73684210526316,Rueil-Malmaison,48.87778,2.1802832,3
2765451,"1 pièce, 40 m², Étage 0/0, Parking, Ascenseur",1,1547,t,2,Studio,39.66666666666666,Paris 16ème,48.856779,2.2724945,0
2768140,"1 pièce, 15 m², Ascenseur",1,814,f,2,Studio,15.074074074074074,Saint-Denis,48.935773,2.3580232,0
2812050,"4 pièces, 3 chambres, 113 m², Étage 6/6, Ascenseur",4,5500,t,3,Appartement,112.24489795918367,Paris 8ème,48.8670978,2.3131224,3
2904176,"6 pièces, 4 chambres, 250 m², Étage 3/6, Parking, Ascenseur",6,14500,f,2,Appartement,250.0,Paris 16ème,48.856779,2.2724945,4
3145133,"5 pièces, 3 chambres, 150 m², Étage 2/–, Terrasse, Parking, Ascenseur",5,7300,f,3,Appartement,148.9795918367347,Paris 16ème,48.856779,2.2724945,3
3203763,"2 pièces, 1 chambre, 54 m², Étage 1/8, Balcon, Ascenseur",2,2740,t,3,Appartement,53.72549019607843,Paris 16ème,48.856779,2.2724945,0
3243868,"2 pièces, 1 chambre, 55 m², Étage 2/0, Terrasse",2,1050,f,3,Appartement,55.26315789473684,Argenteuil,48.9479069,2.2481797,0
3256222,"2 pièces, 1 chambre, 37 m², Étage 2/0",2,920,f,3,Appartement,36.8,Maisons-Alfort,48.8012045,2.4309703,0
3256312,"2 pièces, 1 chambre, 48 m², Étage 1/0, Balcon, Parking",2,950,f,3,Appartement,47.5,Sartrouville,48.9409016,2.1585037,0
3256313,"2 pièces, 1 chambre, 32 m², Balcon, Terrasse",2,930,t,3,Appartement,32.06896551724138,Chaville,48.8086915,2.1883487,0
3264279,"5 pièces, 3 chambres, 120 m², Étage 2/–, Balcon",5,3990,f,2,Appartement,120.9090909090909,Paris 8ème,48.8670978,2.3131224,3
3264327,"3 pièces, 1 chambre, 54 m², Étage 6/6, Ascenseur",3,3110,t,3,Appartement,53.62068965517241,Paris 14ème,48.8339171,2.3288283,0
3264513,"1 pièce, 43 m², Étage 1/–",1,2210,t,3,Studio,43.333333333333336,Paris 14ème,48.8339171,2.3288283,0
3264518,"1 pièce, 34 m², Étage 7/7, Balcon, Ascenseur",1,1725,t,3,Studio,33.8235294117647,Paris 17ème,48.8791008,2.28743,0
3277161,"5 pièces, 3 chambres, 129 m², Étage 4/5, Balcon, Parking, Ascenseur",5,2999,f,2,Appartement,130.3913043478261,Saint-Germain-en-Laye,48.8990413,2.0942792,3
3307978,"4 pièces, 3 chambres, 120 m², Étage 2/6, Ascenseur",4,4900,t,3,Appartement,119.51219512195122,Paris 17ème,48.8791008,2.28743,3
3309930,"4 pièces, 2 chambres, 105 m², Étage 3/–, Balcon, Ascenseur",4,3950,f,3,Appartement,103.94736842105264,Paris 4ème,48.8510673,2.3670936,2
